v1	V(n001)	V(n003)	V(n004)	-I(R1)	-I(R2)
1.330000000000001e+00	1.000000e+01	4.334228e+00	6.857774e-01	1.952190e-05	5.665773e-03
1.340000000000001e+00	1.000000e+01	4.259732e+00	6.861982e-01	1.981218e-05	5.740268e-03
1.350000000000001e+00	1.000000e+01	4.185444e+00	6.866135e-01	2.010262e-05	5.814556e-03
1.360000000000001e+00	1.000000e+01	4.111364e+00	6.870235e-01	2.039323e-05	5.888636e-03
1.370000000000001e+00	1.000000e+01	4.037493e+00	6.874282e-01	2.068399e-05	5.962507e-03
1.380000000000001e+00	1.000000e+01	3.963830e+00	6.878279e-01	2.097491e-05	6.036170e-03
1.390000000000001e+00	1.000000e+01	3.890375e+00	6.882226e-01	2.126598e-05	6.109625e-03
1.400000000000001e+00	1.000000e+01	3.817129e+00	6.886126e-01	2.155719e-05	6.182871e-03
1.410000000000001e+00	1.000000e+01	3.744090e+00	6.889978e-01	2.184855e-05	6.255910e-03
1.420000000000001e+00	1.000000e+01	3.671260e+00	6.893784e-01	2.214005e-05	6.328740e-03
1.430000000000001e+00	1.000000e+01	3.598638e+00	6.897547e-01	2.243168e-05	6.401362e-03
1.440000000000001e+00	1.000000e+01	3.526224e+00	6.901265e-01	2.272344e-05	6.473776e-03
1.450000000000001e+00	1.000000e+01	3.454017e+00	6.904941e-01	2.301533e-05	6.545983e-03
1.460000000000001e+00	1.000000e+01	3.382017e+00	6.908575e-01	2.330735e-05	6.617982e-03
1.470000000000001e+00	1.000000e+01	3.310225e+00	6.912168e-01	2.359949e-05	6.689775e-03
1.480000000000001e+00	1.000000e+01	3.238640e+00	6.915722e-01	2.389175e-05	6.761360e-03
1.490000000000001e+00	1.000000e+01	3.167260e+00	6.919237e-01	2.418413e-05	6.832739e-03
1.500000000000000e+00	1.000000e+01	3.096087e+00	6.922714e-01	2.447663e-05	6.903912e-03
